,Article Titles,List of Article Author Names,Publication Dates
0,Applying MAP-MRI to Identify the WHO Grade and Main Genetic Features of Adult-type Diffuse Gliomas: A Comparison of Three Diffusion-weighted MRI Models,"Peng Wang,Jinlong He,Xueying Ma,...Huapeng Zhang,Shenghui Xie,Yang Gao","November 05, 2022"
1,Clinical Decision Support: Impact on Appropriate Imaging Utilization,"Matthew E. Zygmont,Ichiro Ikuta,Xuan V. Nguyen,L. Alexandre R. Frigini,Colin Segovis,David M. Naeger","November 04, 2022"
2,Pulse Sequence Dependence of a Simple and Interpretable Deep Learning Method for Detection of Clinically Significant Prostate Cancer Using Multiparametric MRI,"Heejong Kim,Daniel J.A. Margolis,Himanshu Nagar,Mert R. Sabuncu","November 02, 2022"
3,Radiological Features of Bone Lymphoma on CT and MRI. A Retrospective Monocentric Series of 56 Patients,"Phuong Thao Nguyen,Elodie Sibileau,Marc Polivka,Grégoire Attané,Valérie Bousson","October 31, 2022"
4,Predicting Meningioma Resection Status: Use of Deep Learning,"Burak Han Akkurt,Stefan Wanderer,Lucia Schwyzer,...Walter Heindel,Luca Remonda,Manoj Mannil","October 30, 2022"
5,Artificial Intelligence Literacy: Developing a Multi-institutional Infrastructure for AI Education,"J.D. Perchik,A.D. Smith,A.A. Elkassem,...A. Sturdivant,S. Tridandapani,H. Sotoudeh","October 30, 2022"
6,Inspiring New Generations in the Field of Nuclear Medicine. A Growing Discipline,"Karen Cifuentes Gaitan,José David Cardona Ortegón,Silvia González-Gómez,Rafael Gomez Ramírez","October 30, 2022"
7,Shear Wave Elastography Combined with Molecular Subtype in Early Prediction of Pathological Response to Neoadjuvant Chemotherapy in Patients with Breast Cancer: A Prospective Study,"Jia-Xin Huang,Shi-Yang Lin,Yan Ou,...Yuan Zhong,Ming-Jie Wei,Xiao-Qing Pei","October 28, 2022"
8,Letter to the Editor: Leadership Training Is for Everyone,Benjamin J. May,"October 27, 2022"
9,Technological Adaptation in Education. A Challenge in Advanced Medical Traitning,"Valentina Ferrer Valencia,José David Cardona Ortegón,Adriana Maria Barrera Patiño,Catalina Barragan Corrales","October 22, 2022"
10,Becoming an Expert Radiology Educator Through Deliberate Practice,"Eric L. Tung,Omer A. Awan","October 22, 2022"
11,An MRI-based Scoring System for Preoperative Prediction of Axillary Response to Neoadjuvant Chemotherapy in Node-Positive Breast Cancer: A Multicenter Retrospective Study,"Xiaomei Huang,Zhenwei Shi,Jinhai Mai,...Xin Chen,Changhong Liang,Zaiyi Liu","October 21, 2022"
12,"Multiparametric Quantitative Imaging in Risk Prediction: Recommendations for Data Acquisition, Technical Performance Assessment, and Model Development and Validation","Erich P. Huang,Gene Pennello,Nandita M. deSouza,...David L. Raunig,Alexander R. Guimaraes,Nancy A. Obuchowski","October 20, 2022"
13,Evaluation of h-index in Academic Interventional Radiology,"Srinidhi Shanmugasundaram,Bunchhin Huy,Dhvani Shihora,Nicole Lamparello,Abhishek Kumar,Pratik Shukla","October 18, 2022"
14,How Radiologists Who Volunteer in Their Communities Enrich Lives,"Jonathan A. Class,Richard B. Gunderman","October 18, 2022"
15,Does hypointense HCC in the Hepatobiliary Phase at Gadoxetate-Enhanced MRI Predict Recurrence After Surgery? A Systematic Review and Meta-analysis,"Fernanda A. Braga,Ulysses S. Torres,Wagner Iared,Giuseppe D´Ippolito","October 15, 2022"
16,"Intermuscular Fat, But Not Subcutaneous Fat, Correlated With Major Complications After Primary Total Hip Arthroplasty","Jinlong Yu,Mingliang Wang,Hao Shen","October 15, 2022"
17,Improving Inclusivity For the LGBTQ Community in Radiology Departments: Taking Concrete Steps Forward,Eric England,"October 15, 2022"
18,Preoperative Extrapancreatic Extension Prediction in Patients with Pancreatic Cancer Using Multiparameter MRI and Machine Learning-Based Radiomics Model,"Ni Xie,Xuhui Fan,Haoran Xie,...Han Wang,Xiaorui Yin,Baiwen Li","October 14, 2022"
19,Preliminary Feasibility Study on Diffusion Kurtosis Imaging to Monitor the Early Functional Alterations of Kidneys in Streptozocin-Induced Diabetic Rats,"Zhong-Yuan Cheng,Ping-Kang Chen,You-Zhen Feng,Xiao-Qiao Chen,Long Qian,Xiang-Ran Cai","October 13, 2022"
20,Correlations Between Preoperative Radiographic Vascular Involvement of Abdominal/Pelvic Neuroblastomas on Computed Tomography and Intraoperative Vascular Injuries: Experience From a Tertiary Children's Hospital,"Haoru Wang,Ting Li,Xin Chen,...Hao Ding,Jinjie Qin,Ling He","October 09, 2022"
